pmid,title,abstract,journal,year,mesh_terms,url
27157250,The effects of a nutraceutical combination on plasma lipids and glucose: A systematic review and meta-analysis of randomized controlled trials.,"Dyslipidemia and hyperglycemia are associated with an increased risk of ischemic cardiovascular disease. Positive effects of a nutraceutical combination comprising red yeast rice, berberine, policosanol, astaxanthin, coenzyme Q10 and folic acid (NComb) on plasma lipid and glucose levels have been reported in some but not all clinical trials. To address this inconsistency, we tried to estimate the size of lipid- and glucose-lowering effects of NComb through a systematic review and meta-analysis of randomized controlled trials. A systematic literature search in PubMed-Medline, SCOPUS and Google Scholar databases was conducted to identify randomized controlled trials investigating the effects of NComb on plasma lipids and glucose levels. Inverse variance-weighted mean differences (WMDs) and 95% confidence intervals (CIs) were calculated for net changes in lipid and glucose levels using a random-effects model. Random-effects meta-regression was performed to assess the effect of putative confounders on plasma lipid and glucose levels. Fourteen trials (1670 subjects in the NComb arm and 1489 subjects in the control arm) met the eligibility criteria for lipid analysis and 10 trials (1014 subjects in the NComb arm and 962 subjects in the control arm) for glucose analysis. Overall, WMDs were significant for the impact of NComb supplementation on plasma levels of total cholesterol (-26.15mg/dL, p<0.001), LDL-cholesterol (-23.85mg/dL, p<0.001), HDL-cholesterol (2.53mg/dL, p<0.001), triglycerides (-13.83mg/dL, p<0.001) and glucose (-2.59mg/dL, p=0.010). NComb-induced amelioration of lipid profile was not affected by duration of supplementation nor by baseline lipid levels; conversely, a greater glucose-lowering effect of NComb was found with higher baseline glucose levels and longer durations of supplementation. In conclusion, the present results suggest that NComb supplementation is associated with improvement of lipid and glucose profile. Short-term beneficial effects of NComb supplementation appear to be maintained in the long term.",Pharmacological research,2016,"Adult; Aged; Aged, 80 and over; Biomarkers/blood; Blood Glucose/*drug effects/metabolism; *Dietary Supplements/adverse effects; Drug Combinations; Dyslipidemias/blood/diagnosis/*drug therapy; Female; Humans; Hyperglycemia/blood/diagnosis/*drug therapy; Hypoglycemic Agents/*administration & dosage/adverse effects; Hypolipidemic Agents/*administration & dosage/adverse effects; Lipids/*blood; Male",https://pubmed.ncbi.nlm.nih.gov/27157250/
28230063,Effects of calcium plus vitamin D supplementation on blood pressure: a systematic review and meta-analysis of randomized controlled trials.,"The effect of calcium or vitamin D supplement on blood pressure (BP) has been explored in previous meta-analyses, but the results are conflicting. The combined efficacy of calcium and vitamin D on BP has not been systematically assessed. Thus, we conducted a meta-analysis of randomized controlled trials (RCTs) to explore the effect of calcium plus vitamin D (CaD) supplementation on changes of systolic blood pressure (SBP) and diastolic blood pressure among male and female participants (with and without diagnosed hypertension) aged 18 years or older. The PubMed, the Embase and the Cochrane Central Register of controlled trials were searched. A random effects model was used to calculate the pooled weighted mean differences (WMDs) with 95% confidence intervals (CIs) for the continuous outcome data. Cochrane Collaboration tool was used to assess the study quality of each trial. We further performed subgroup analysis and meta-regression by ethnicity, gender, age, health status, supplement dose, co-interventions, supplement duration and quality assessment. Eight RCTs involving 36 806 participants were assessed. The follow-up time ranged from 15 weeks to a maximum of 7 years. No meaningful effect on daytime office BP was detected in the present study, with evidence of significant heterogeneity. Subgroup analysis by gender indicated some evidence of elevated SBP in male participants, and the WMD (95% CI) was 1.49 mm Hg (1.03, 1.95). Further high-quality research is still warranted to confirm the magnitude of the effect of CaD supplementation on the changes of BP among participants with different ethnicity, gender, health status and CaD supplements.",Journal of human hypertension,2017,Adult; Blood Pressure/*drug effects; Calcium/adverse effects/*therapeutic use; *Dietary Supplements/adverse effects; Female; Humans; Hypertension/diagnosis/*drug therapy/epidemiology/physiopathology; Male; Middle Aged; Randomized Controlled Trials as Topic; Time Factors; Treatment Outcome; Vitamin D/adverse effects/*therapeutic use; Vitamin D Deficiency/diagnosis/*drug therapy/epidemiology; Young Adult,https://pubmed.ncbi.nlm.nih.gov/28230063/
26824510,Effect of vitamin D supplementation on measures of arterial stiffness: a systematic review and meta-analysis of randomized controlled trials.,"BACKGROUND: Low vitamin D has been associated with poor arterial compliance in observational studies. Arterial stiffness has prognostic value for cardiovascular disease risk. The aim of this systematic review was to clarify the literature surrounding the use of vitamin D to ameliorate arterial stiffness. METHODS: We conducted a systematic review of the MEDLINE, Scopus and EMBASE databases for randomized controlled clinical trials investigating the effect of vitamin D supplementation on pulse wave velocity (PWV) and/or augmentation index (AI) as indicators of arterial stiffness. We meta-analysed data and calculated standardized mean difference (SMD) and 95% confidence intervals (CI) using inverse-variance models on RevMan v5.3 software. Study quality was assessed using a modified Jadad scale. RESULTS: A total of 607 unique records were identified, of which 18 satisfied our inclusion and exclusion criteria. Study quality was high, ranging from 9 to 12 (of 13). Study design in terms of vitamin D dosing protocol (range: 1000-5700 IU/day), follow-up times (range: 1-12 months), sample size (range: n = 29-183) and recruitment strategies varied markedly. Thirteen studies had data for meta-analysis. Vitamin D was associated with nonsignificant reductions in PWV [SMD = -0.10; 95% CI: -0.24, 0.04; P = 0.17; n = 806 from ten studies] and AI [-0.15; -0.32, 0.02; 0.08; n = 551 from eight studies]. DISCUSSION: There is inconsistent evidence to suggest that vitamin D supplementation improves indicators of arterial stiffness. This may be attributable to the heterogeneity in study design. Therefore, large and well-designed randomized studies are required to determine the casual relationships between vitamin D and arterial stiffness and cardiovascular risk.",Clinical endocrinology,2016,*Dietary Supplements; Follow-Up Studies; Humans; Pulse Wave Analysis; Randomized Controlled Trials as Topic; Treatment Outcome; Vascular Stiffness/*drug effects; Vitamin D/administration & dosage/*therapeutic use; Vitamins/administration & dosage/therapeutic use,https://pubmed.ncbi.nlm.nih.gov/26824510/
35246405,Effect of Antioxidants Supplementation on Erectile Dysfunction: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"INTRODUCTION: In Erectile dysfunction (ED) patients, phosphodiesterase type 5 (PDE5) inhibitors are considered as the first-line therapy. However, 30-50% of ED patients fail to follow this therapeutic option because of adverse events, lack of efficacy, or drug costs. Antioxidant supplementation is widely applied in clinical practice and viewed as a potential therapeutic option for ED. Therefore, it is attractive to assess the effect of antioxidants supplementation on ED patients. OBJECTIVES: To evaluate the effects of antioxidants supplementation on ED. METHODS: Published randomized controlled trials of antioxidants in ED were searched in the PubMed, Embase, and Cochrane Library databases from inception to October 3, 2021. Meta-analyses were carried out using a random-effects model. The results were presented as standard mean differences (SMDs) with their 95% confidence intervals (CIs). RESULTS: Eighteen studies with 1,331 ED patients were included in the study. Compared with placebo, antioxidants alone treatment showed a statistical increase in International Index of Erectile Function (IIEF) score (SMD = 1.93; 95% CI: 0.15, 3.72; P = .034). Compared with placebo, antioxidants compound treatment elicited a significant increase in IIEF score (SMD = 2.74; 95% CI: 1.67, 3.81; P < .001) as well as sexual satisfaction score (SMD = 1.61; 95% CI: 0.63, 2.59; P = .001). Compared with the PDE5 inhibitors alone, combination of PDE5 inhibitors and antioxidants showed a significant increase in IIEF score (SMD = 1.1; 95% CI: 0.51, 1.68; P < .001) and sexual satisfaction score (SMD = 1.28; 95% CI: 0.06, 2.51; P = .04). CONCLUSION: This study found that the effect of antioxidant alone treatment on ED may be limited. However, antioxidant compound treatment, as well as combination of PDE5 inhibitors and antioxidants, were associated with improved ED, and can be considered as an accessary therapeutic option for ED. Su L, Yang Z, Qu H, et al. Effect of Antioxidants Supplementation on Erectile Dysfunction: A Systematic Review and Meta-Analysis of Randomized Controlled Trials. Sex Med Rev 2022;10:754-763.",Sexual medicine reviews,2022,"Antioxidants/therapeutic use; Cyclic Nucleotide Phosphodiesterases, Type 5; Dietary Supplements; *Erectile Dysfunction/etiology; Humans; Male; Phosphodiesterase 5 Inhibitors/therapeutic use; Randomized Controlled Trials as Topic",https://pubmed.ncbi.nlm.nih.gov/35246405/
36099667,"Antioxidant-rich foods, antioxidant supplements, and sarcopenia in old-young adults >/=55 years old: A systematic review and meta-analysis of observational studies and randomized controlled trials.","BACKGROUND & AIMS: Sarcopenia is a disabling muscular multifactorial disease involving the oxidation process in old-young adults. We aimed to evaluate the relationship between antioxidant-rich foods (A-RF) and sarcopenia (muscle mass, strength, and function) based on observational studies (OS), and to assess the effectiveness of antioxidant interventions in >/=55-year-old adults via randomized controlled trials (RCTs). Moreover, to confirm if the OS results were in accordance with the RCTs results. METHODS: We searched in the MEDLINE(R)/PubMed, Cochrane Library, and CINAHL databases from 2000 to 2020 about sarcopenia and specific nutrients/foods. The risk of bias was assessed and meta-analyses were performed using the Review Manager program. RESULTS: The systematic review included 28 studies (19 OS, 9 RCTs), whereas the meta-analysis included 4 RCTs. Results of the systematic review of OS revealed that higher A-RF consumption was associated with better sarcopenia outcomes. Results of the RCTs meta-analysis indicated that higher fruit/vegetable consumption, supplementation with magnesium, and vitamin E plus vitamin D and protein significantly reduced the time to complete 5 stands (mean difference; 95% CI; -1.11 s; 1.70, -0.51; p < 0.01). Additionally, including tea catechin supplementation significantly increased handgrip strength (1.02 kg; 0.60, 1.44; p < 0.01). CONCLUSIONS: In sum, A-RF or antioxidant supplementation could be effective tools for sarcopenia, especially improving muscle strength and function. The best interventions according to the meta-analysis of the RCTs were supplementation of vitamin E in combination with vitamin D and protein, magnesium, tea catechins, and increasing fruit and vegetable consumption. REGISTRATION NUMBER: PROSPERO (CRD42020183045).","Clinical nutrition (Edinburgh, Scotland)",2022,Antioxidants/therapeutic use; *Catechin; Dietary Supplements; Humans; Magnesium; Middle Aged; Muscle Strength/physiology; Randomized Controlled Trials as Topic; *Sarcopenia/prevention & control; Tea; Vitamin D; Vitamin E; Vitamins; Young Adult,https://pubmed.ncbi.nlm.nih.gov/36099667/
32420827,Effect of probiotic supplementation on migraine prophylaxis: a systematic review and meta-analysis of randomized controlled trials.,"Objective: The prevalence of migraine is higher in patients with gastrointestinal disorders. Possible underlying mechanisms could be increased intestinal permeability and systemic inflammation. Probiotics may reduce gut permeability as well as inflammation, and therefore may improve the clinical features of migraine. This systematic review and meta-analysis aimed to evaluate the impact of probiotic supplementation on the frequency and severity of migraine attacks.Methods: A systematic review of the literature was conducted using ISI Web of Science, PubMed/Medline, Scopus, Cochrane Library, EMBASE, Google Scholar, Magiran.com and Sid.ir to identify eligible studies published up to October 2019. A meta-analysis of eligible trials was performed using the random-effects model to estimate pooled effect size.Results: Three randomized controlled trials with 179 patients (probiotic group = 94, placebo group = 85) were included. Probiotic supplementation had no significant effect on frequency (weighted mean difference (WMD) = -2.54 attacks/month, 95%CI: -5.31-0.22, p = 0.071) and severity of migraine attacks (WMD = -1.23 visual analog scale (VAS) score, 95%CI = -3.37-0.92, p = 0.262) with significant heterogeneity among the studies (I(2) = 98%, p < 0.001).Conclusions: A pooled analysis of available randomized controlled clinical trials showed that probiotic supplementation had no significant effect on the frequency and severity of episodic migraine attacks.",Nutritional neuroscience,2022,Humans; Inflammation; *Migraine Disorders/prevention & control; *Probiotics/therapeutic use; Randomized Controlled Trials as Topic,https://pubmed.ncbi.nlm.nih.gov/32420827/
35714209,Efficacy and Safety of Turmeric Dietary Supplementation on Proteinuria in CKD: A Systematic Review and Meta-analysis of RCT.,"The beneficial effects of oral turmeric extract on proteinuria levels have been investigated in several human and animal studies. We conducted a systematic review and meta-analysis to evaluate the significance of this new treatment in CKD patients for the first time. We searched ISI Web of Science, PubMed/Medline, Google Scholar, Scopus, SID, and Magiran until March 2021 to identify human-controlled trials that evaluated the effect of turmeric on proteinuria in chronic kidney disease patients. A total of six trials met the selection criteria and were reviewed in our study and four of them were included in the meta-analysis. In these studies, the results showed not only a significant decrease in the level of proteinuria of the trial groups, who had received curcumin but also a significant change in the level of proteinuria between the trial and control groups (SMD = -0.72, 95% CI: -1.10 to 0.35). The results of this meta-analysis demonstrates that turmeric/curcumin oral supplementation significantly improves urinary protein excretion in patients who suffer from chronic kidney diseases with proteinuria; thus, it can be considered as a potential treatment modality in this population.  DOI: 10.52547/ijkd.6772.",Iranian journal of kidney diseases,2022,"Curcuma; *Curcumin; Dietary Supplements/adverse effects; Humans; Proteinuria/drug therapy/etiology; Randomized Controlled Trials as Topic; *Renal Insufficiency, Chronic/complications",https://pubmed.ncbi.nlm.nih.gov/35714209/
35689651,The effect of pistachio supplementation on metabolic syndrome and its components in adults: a systematic review and meta-analysis of randomized controlled trials.,"CONTEXT: Several observational and experimental studies have been conducted to evaluate the effects of pistachio intake on metabolic syndrome (MetS); however, the results are inconsistent. OBJECTIVE: This systematic review and meta-analysis were performed on data from randomized controlled trials (RCTs) to determine the effect of pistachio consumption on MetS components. DATA SOURCES: The PubMed, Scopus, Google Scholar and Web of Science databases were searched from 1986 to 2021. STUDY SELECTION: English-language RCTs on pistachio intake were included that provided outcomes on hypertension, hyperglycemia, hypertriglyceridemia, and high-density lipoprotein (HDL). DATA EXTRACTION: Results are presented as pooled mean differences (MDs) between intervention and control groups with 95%CI reported for each of the components. RESULTS: Seventeen RCTs including 940 adults met the inclusion criteria for this systematic review and meta-analysis. Pistachio supplementation significantly reduced systolic blood pressure (BP; MD, -2.89 mmHg, 95%CI: -4.11 to -1.67; P < 0.001), triglycerides (MD, -16.76 mg/dL, 95%CI: -16.89 to -16.64; P < 0.001), fasting blood glucose (MD, -3.62 mg/dL, 95%CI: -6.45 to -0.8; P < 0.001,) and increased HDL (MD, 1.43 mg/dL, 95%CI: 1.39 to 1.47; P < 0.001) levels. However, there were not observed considerable changes in waist circumference, diastolic BP, and body mass index. CONCLUSION: The results of this research show that pistachio consumption could improve some MetS components, including systolic blood pressure, triglyceride, fasting blood glucose, and HDL levels, without affecting anthropometric indices and diastolic BP.",Nutrition reviews,2022,Adult; Blood Glucose/metabolism; Dietary Supplements; Humans; *Metabolic Syndrome/drug therapy; *Pistacia/metabolism; Randomized Controlled Trials as Topic; Triglycerides,https://pubmed.ncbi.nlm.nih.gov/35689651/
40270966,Vitamin supplementation and its effect on incident type 1 diabetes mellitus and islet autoimmunity: a systematic review and meta-analysis.,"INTRODUCTION: The prevalence of type 1 diabetes mellitus (T1DM) is set to rise annually with long-term implications on the quality-of-life. Supplementation with vitamins has garnered interest in recent years due to its association with the development of islet autoimmunity (IA) and T1DM. This systematic review aims to investigate the relationship between vitamins supplementation on the development of IA or T1DM or progression of IA to T1DM. METHODS: This PRISMA-adherent systematic review involved a systematic search of PubMed, Embase and Cochrane for all studies that evaluated the odds (pre-calculated pooled OR) and risk (RR) of IA, T1DM, or progression of IA to T1DM after supplementation with vitamins. Random effects meta-analyses were used for primary analysis. RESULTS: 15 studies were included. Meta-analyses observed that vitamin D did not modify the odds of developing T1DM (Pooled OR=0.55, 95%CI: 0.22-1.38) or IA (Pooled OR=0.91, 95%CI: 0.67-1.25). The relative risk of developing T1DM was almost significant (RR=0.66, 95%CI: 0.41-1.06), emphasizing the need to conduct further large-scale cohort studies. Systematic review revealed that vitamin B supplementation did not influence the risk of T1DM and progression of IA to T1DM. Additionally, there was an association between higher maternal education levels and higher levels of vitamin D supplementation in their offspring. CONCLUSION: In conclusion, we found no significant benefit with the use of various vitamins in modifying the risk of developing IA, T1DM or progression of IA to T1DM. Our study provides a foundation for future research by contributing to the evolving landscape of nutritional immunology. SYSTEMATIC REVIEW REGISTRATION: https://www.crd.york.ac.uk/prospero/, identifier CRD42024540524.",Frontiers in immunology,2025,"Humans; *Diabetes Mellitus, Type 1/immunology/epidemiology/prevention & control; *Dietary Supplements; *Autoimmunity/drug effects; *Vitamins/administration & dosage; *Islets of Langerhans/immunology/drug effects; Incidence; Vitamin D; Disease Progression",https://pubmed.ncbi.nlm.nih.gov/40270966/
39203777,Efficacy of Eggshell Membrane in Knee Osteoarthritis: A Systematic Review and Meta-Analysis.,"Osteoarthritis (OA) is a prevalent, degenerative joint disease, with knee OA being particularly common and impactful. This systematic review and meta-analysis aimed to assess the efficacy of eggshell membrane (ESM) supplementation in improving joint functionality and reducing pain in individuals with knee OA. A comprehensive search was conducted across PubMed, Scopus, Web of Science, and Cochrane Database up to July 2024, following PRISMA guidelines. Seven randomized controlled trials (RCTs) met the inclusion criteria, with five included in the meta-analysis. The studies compared ESM to a placebo, evaluating outcomes based on assessment tools such as the Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC), Visual Analogue Scale (VAS), and Knee Injury and Osteoarthritis Outcome Score (KOOS). Results indicated that ESM significantly reduced pain and improved functionality, with notable improvements in total WOMAC score (effect size -0.34; 95% CI: -0.56 to -0.13; p < 0.001) and pain subscale (SMD -0.23; 95% CI: -0.42 to -0.04; p < 0.02). The findings support ESM as a promising adjunctive treatment for knee OA, offering a safe, natural supplement to enhance quality of life. Further high-quality RCTs are needed to confirm these results and explore the long-term effects and mechanisms of ESM.",Nutrients,2024,"Animals; Humans; Dietary Supplements; *Egg Shell; *Osteoarthritis, Knee/diagnosis/diet therapy; Pain Measurement; Quality of Life; Randomized Controlled Trials as Topic; Treatment Outcome",https://pubmed.ncbi.nlm.nih.gov/39203777/
35871952,Impact of probiotic supplementation on trimethylamine N-oxide (TMAO) in humans: A systematic review and meta-analysis of randomized controlled trials.,"BACKGROUND & AIMS: Some clinical trial studies have shown the effect of probiotic supplementation on trimethylamine N-oxide (TMAO) levels through regulation of intestinal microbiota. However, the relevant findings in this area are still contradictory. The aim of this systematic study and meta-analysis was to investigate the effects of probiotic supplementation on TMAO levels using randomized controlled trials (RCTs). METHODS: Available databases including PubMed/Medline, Web of Science, Scopus, Cochrane Library, and Embase were searched to find relevant RCTs up to August 2021. In this study, we examined the population over 18 years of age using probiotics as an intervention group compared to the control group to evaluate TMAO as a final outcome. Effect size was expressed as weighted mean difference (WMD) and 95% confidence interval (CI). RESULTS: 8 RCT studies with 270 participants were included in this article. The results show that probiotic supplementation has no significant effect on TMAO levels compared to the control group (WMD - 0.08 mumol/L; 95% CI - 0.76 to 0.60, P = 0.813). Furthermore, the results of the analysis of the subgroups did not show a significant effect on this metabolite in both groups of healthy and unhealthy individuals following the intervention. However, probiotic supplementation further reduced TMAO in people less than 50 years of age compared to those over 50 years of age. CONCLUSIONS: This meta-analysis showed that probiotics did not have a significant effect on TMAO levels. However, further studies are needed to confirm the findings.",Clinical nutrition ESPEN,2022,Adolescent; Adult; *Gastrointestinal Microbiome/physiology; Humans; Methylamines/metabolism; Middle Aged; *Probiotics; Randomized Controlled Trials as Topic,https://pubmed.ncbi.nlm.nih.gov/35871952/
39509795,Effectiveness of N-3 fatty acids supplementation on spondyloarthritis: A systematic review and meta-analysis.,"BACKGROUND & AIMS: The study aims to systematically review and meta-analyze randomized controlled trials (RCTs) assessing the effects of n-3 fatty acids (FA) supplementation on spondyloarthritis (SpA) disease activity, inflammatory markers, and imaging. METHODS: The study protocol was developed and registered online in advance. The PubMed, SCOPUS, and Cochrane Central Register of Controlled Trials (CENTRAL) electronic databases were systematically searched for RCTs up to April 2024. Two independent reviewers screened, assessed for eligibility, and extracted data from the eligible RCTs. The revised Cochrane Risk of Bias tool was used to assess the quality of trials. The random-effects model was used to calculate the pooled estimates. RESULTS: We included four RCTs, involving 245 patients with SpA. Supplementation with n-3 FA did not improve physician-reported outcomes [number of tender joints (four trials, standardized mean difference (SMD): -0.22; 95 % confidence interval (CI): -0.74 to 0.29; I(2) = 61 %), number of swollen joints (two trials, SMD: -0.13; 95 % CI: -0.42 to 0.15; I(2) = 0 %)], and patient-reported outcomes [pain (three trials, SMD: -0.16; 95 % CI: -1.03 to 0.70; I(2) = 74 %), Health Assessment Questionnaire (three trials, SMD: -0.04; 95 % CI: -0.78 to 0.70; I(2) = 71 %). The other nine pre-specified outcomes were not analyzed due to lack of information from the original RCTs which were evaluated as <<some concerns>> or <<high risk>> of bias. CONCLUSIONS: In the present systematic review and meta-analysis including placebo-controlled RCTs, n-3 FA supplementation did not show improvement in the reported outcomes. Future RCTs should be conducted with homogenous intervention, placebo, and outcomes to re-examine possible beneficial effects.","Clinical nutrition (Edinburgh, Scotland)",2024,"Humans; *Dietary Supplements; *Fatty Acids, Omega-3/administration & dosage; Randomized Controlled Trials as Topic; *Spondylarthritis/diagnosis/diet therapy; Treatment Outcome",https://pubmed.ncbi.nlm.nih.gov/39509795/
31805963,Inulin-type fructans supplementation improves glycemic control for the prediabetes and type 2 diabetes populations: results from a GRADE-assessed systematic review and dose-response meta-analysis of 33 randomized controlled trials.,"BACKGROUND: Currently, many clinical trials have shown that inulin-type fructans (ITF) supplementation is associated with glycemic control; nevertheless, the results are inconclusive. The aim of this meta-analysis of randomized controlled trials was to assess the effects of ITF supplementation on glycemic control. METHODS: PubMed, EMBASE and the Cochrane Library were searched for eligible articles up to March 6, 2019. A random-effects model was used to analyze the pooled results, and the Grading of Recommendations Assessment, Development, and Evaluation (GRADE) system was applied to assess the quality of evidence. The dose-response model was used to recommend the daily dose and duration for ITF supplementation. RESULTS: Thirty-three trials involving 1346 participants were included. Overall, ITF supplementation could significantly reduce concentrations of fasting blood glucose (FBG), glycosylated hemoglobin (HbA1c), fasting insulin (FINS) and homeostasis model assessment-insulin resistance (HOMA-IR). In the prediabetes and type 2 diabetes (T2DM) population, a more significant reduction in FBG [weighted mean difference (WMD): - 0.60 mmol/l; 95% CI - 0.71, - 0.48 mmol/l; high rate], HbA1c (WMD: - 0.58%; 95% CI - 0.83, - 0.32%; high rate), FINS (WMD: - 1.75 microU/ml; 95% CI - 2.87, - 0.63 microU/ml; low rate), and HOMA-IR (WMD: - 0.69; 95% CI - 1.10, - 0.28; low rate) were observed, and ITF supplementation with a daily dose of 10 g for a duration of 6 weeks and longer was recommended. Moreover, subgroup analyses suggested that the effects of glycemic control were significantly influenced by the sex of the subjects and the type and the method of intake of ITF. CONCLUSIONS: Our analyses confirmed that these four main glycemic indicators were significantly reduced by ITF supplementation, particularly in the prediabetes and T2DM population. Evidence supports that reasonable administration of ITF supplementation may have potential clinical value as an adjuvant therapy for prediabetes and T2DM management. Trial registration The trial was registered at PROSPERO as CRD42018115875 on November 23, 2018.",Journal of translational medicine,2019,"Adult; Aged; Blood Glucose/*metabolism; Diabetes Mellitus, Type 2/blood/*drug therapy; *Dietary Supplements; Dose-Response Relationship, Drug; Fasting/blood; Female; Fructans/*therapeutic use; Glycated Hemoglobin/metabolism; Humans; Inulin/*therapeutic use; Male; Middle Aged; Nonlinear Dynamics",https://pubmed.ncbi.nlm.nih.gov/31805963/
33813266,Effects of chromium supplementation on lipid profile in patients with type 2 diabetes: A systematic review and dose-response meta-analysis of randomized controlled trials.,"BACKGROUND: The purpose of this study was to determine the influence of chromium supplementation on lipid profile in patients with type 2 diabetes mellitus (T2DM). METHODS: A systematic search was performed in Scopus, Embase, Web of Science, the Cochrane library and PubMed databases to find randomized controlled trials (RCTs) related to the effect of chromium supplementation on lipid profile in patients with T2DM, up to June 2020. Meta-analyses were performed using the random-effects model, and I(2) index was used to evaluate heterogeneity. RESULTS: The primary search yielded 725 publications. 24 RCTs (with 28 effect size) were eligible. Our meta-analysis indicated that chromium supplementation resulted in a significant decrease in serum levels of triglyceride (TG) (MD: -6.54 mg/dl, 95 % CI: -13.08 to -0.00, P = 0.050) and total cholesterol (TC) (WMD: -7.77 mg/dl, 95 % CI: -11.35 to -4.18, P < 0.001). Furthermore, chromium significantly increases high-density lipoprotein (HDL) (WMD: 2.23 mg/dl, 95 % CI: 0.07-4.40, P = 0.043) level. However, chromium supplementation did not have significant effects on low-density lipoprotein (LDL) (WMD: -8.54 mg/dl, 95 % CI: -19.58 to 2.49, P = 0.129) level. CONCLUSION: Chromium supplementation may significantly improve lipid profile in patients with T2DM by decreasing TG and TC and increasing HDL. However, based on our analysis, chromium failed to affect LDL. It should be noted that the lipid-lowering properties of chromium supplementation were small and may not reach clinical importance.",Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS),2021,"Chromium/*administration & dosage/pharmacology; Diabetes Mellitus, Type 2/*blood/drug therapy; Dietary Supplements; Dose-Response Relationship, Drug; Humans; Lipids/*blood; Randomized Controlled Trials as Topic",https://pubmed.ncbi.nlm.nih.gov/33813266/
36347993,Vitamin requirements during stem cell transplantation: a systematic review.,"Patients undergoing stem cell transplantation (SCT) are at high risk of malnutrition during the acute post-transplantation period. This systematic review aimed to collate and analyse the evidence for vitamin requirements post-SCT. A systematic search of five databases was conducted to include studies published until March 2021. The review utilised the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) framework. Inclusion criteria consisted of adults undergoing SCT who received vitamin supplementation or had their vitamin levels monitored up to 100 days post-SCT. Studies with paediatric patients or those that looked at vitamin derivates such as folinic acid were excluded. Main outcomes included vitamin deficiency and relevant clinical outcomes. Eleven studies (n = 11) were eligible for inclusion with five rated as neutral quality and six as positive quality. Five studies focused on allogenic SCT, two on autologous SCT and the remaining included a mix of both. Eight studies monitored vitamins levels post-SCT, and seven studies provided vitamin supplementation. Three studies (one provided supplementation) found a high prevalence of vitamin D deficiency (23-60%) prior to SCT. Findings indicate an unclear association between vitamin deficiency and post-SCT complications including acute graft-versus-host-disease, oral mucositis, and mortality. The GRADE certainty of evidence across these outcomes was low or very low. It is unclear if supplementation is needed during SCT, though assessing vitamin D levels prior to transplant should be considered. Further large observational studies or randomised control trials are required to establish vitamin requirements and guide supplementation protocols during SCT.",Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2022,Adult; Humans; Child; Vitamins/therapeutic use; Vitamin D; *Vitamin D Deficiency; *Avitaminosis/chemically induced; *Hematopoietic Stem Cell Transplantation/adverse effects; Dietary Supplements,https://pubmed.ncbi.nlm.nih.gov/36347993/
35388031,"Effect of vitamin E supplementation on cardiometabolic risk factors, inflammatory and oxidative markers and hormonal functions in PCOS (polycystic ovary syndrome): a systematic review and meta-analysis.","Polycystic ovary syndrome (PCOS) is a common endocrinopathy among reproductive-age women. Various therapeutical approaches are currently used to manage or control symptoms associated with PCOS. This systematic review intended to assess the effects of Vit E supplementation on cardiometabolic risk factors, inflammatory and oxidative markers, and hormonal functions in PCOS women based on the clinical trial's results. The databases including PubMed, Scopus, Cochrane, Web of Science, and Embase were used to find all relevant studies. The authors reviewed all relevant clinical trials via systematic evaluation of abstracts and titles. Searches were conducted on August 1, 2020. After the initial search and reading of the article's title and abstract, 353 articles were reviewed; finally, 12 articles met the inclusion criteria. Vitamin E supplementation improves lipid profile, decreases insulin and HOMA-IR levels. Furthermore, while Vitamin E supplementation decreases LH and testosterone concentrations, it increases FSH and progestrone concentrations. The following meta-analysis showed that vitamin E supplementation made statistically significant improvements in triglyceride (TG) and low-density lipoproteins (LDL) levels, meanwhile, pooled mean difference for waist circumference (WC) and HOMA-IR were also statistically significant. Supplementary regimens containing vitamin E can positively affect metabolic and hormonal parameters in women with PCOS.",Scientific reports,2022,Biomarkers/metabolism; Cardiometabolic Risk Factors; Dietary Supplements; Female; Humans; *Insulin Resistance; Oxidative Stress; *Polycystic Ovary Syndrome/metabolism; Vitamin E/therapeutic use,https://pubmed.ncbi.nlm.nih.gov/35388031/
24846474,Vitamin supplementation in the treatment of schizophrenia.,"This article reviews the current literature addressing the treatment of schizophrenia with vitamin supplementation. It describes the important roles that vitamins play in normal metabolism, and reviews the evidence pertaining to vitamin deficiency and supplementation in patients with schizophrenia. There is mounting evidence suggesting that vitamin supplementation, in particular with folic acid, vitamin B12 and vitamin D, may be important in treatment within certain subgroups of patients. There is a need for larger randomized controlled trials, and further studies examining the incidence of schizophrenia in countries with poor prenatal care and malnutrition, as well as in countries that have adopted mandatory folic acid fortification of grain products, are recommended.",CNS drugs,2014,Avitaminosis/complications/drug therapy; *Dietary Supplements; Folic Acid/therapeutic use; Humans; Schizophrenia/*drug therapy/etiology; Vitamin B 12/therapeutic use; Vitamin D/therapeutic use; Vitamins/*therapeutic use,https://pubmed.ncbi.nlm.nih.gov/24846474/
